BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
He                                                              
crossSections.txt
--------------------------------------------------
N2                                                              
crossSections.txt
--------------------------------------------------
O2                                                              
crossSections.txt



 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3.rad/s)           0.00000    
A3     Cosine of E-B field angle                  0.00000    
A4     Gas temperature (K)                        300.000    
A5     Excitation temperature (K)                 300.000    
A6     Transition energy (eV)                     0.00000    
A7     Ionization degree                          0.00000    
A8     Gas particle density (1/m3)               0.244631E+26
A9     Ion charge parameter                      -1.00000    
A10    Ion/neutral mass ratio                     1.00000    
A11    Coulomb collision model                    0.00000    
A12    Energy sharing                             1.00000    
A13    Growth model                               1.00000    
A14    Maxwellian mean energy (eV)                0.00000    
A15    # of grid points                           100.000    
A16    Grid type                                  0.00000    
A17    Maximum energy                             200.000    
A18    Precision                                 0.100000E-09
A19    Convergence                               0.100000E-04
A20    Maximum # of iterations                    100.000    
A21    Mole fraction He                        
A22    Mole fraction N2                        
A23    Mole fraction O2                        
            R#      A1           A21           A22           A23      
           3   20.7828       2.97945      0.117149E+25  0.266385E+25  0.194134E+25  0.348989E+25  0.132267E-12  0.150136E-12  0.257236E-20  0.283209E-37  0.105655E-24  0.116323E-41  0.505992E-15  0.168610E-16  0.489121E-15  0.766579E-20   19.3023       6.00000       1.00000       0.00000    
           4   31.1241       3.35358      0.115420E+25  0.290703E+25  0.188667E+25  0.384757E+25  0.135010E-12  0.152385E-12  0.534553E-19  0.246651E-37  0.148804E-23  0.686604E-42  0.111808E-14  0.191833E-16  0.109870E-14  0.179307E-18   23.7139       5.00000       1.00000       0.00000    
           5   41.4655       3.67221      0.113438E+25  0.310213E+25  0.183247E+25  0.411482E+25  0.137375E-12  0.155047E-12  0.323204E-18  0.220383E-37  0.687117E-23  0.468525E-42  0.195044E-14  0.213098E-16  0.192791E-14  0.118717E-17   28.3022       5.00000       1.00000       0.00000    
           6   51.8069       3.96397      0.111442E+25  0.327130E+25  0.178149E+25  0.433429E+25  0.139572E-12  0.157824E-12  0.117604E-17  0.199690E-37  0.203698E-22  0.345875E-42  0.299105E-14  0.233753E-16  0.296300E-14  0.466301E-17   31.7971       5.00000       1.00000       0.00000    
           7   62.1483       4.23779      0.109502E+25  0.342341E+25  0.173438E+25  0.452297E+25  0.141655E-12  0.160619E-12  0.320521E-17  0.182776E-37  0.470982E-22  0.268576E-42  0.422943E-14  0.254140E-16  0.419040E-14  0.135867E-16   35.0192       5.00000       1.00000       0.00000    
           8   72.4897       4.49791      0.107646E+25  0.356249E+25  0.169117E+25  0.469043E+25  0.143651E-12  0.163389E-12  0.718764E-17  0.168695E-37  0.921111E-22  0.216186E-42  0.565654E-14  0.274410E-16  0.559675E-14  0.323385E-16   39.0796       5.00000       1.00000       0.00000    
           9   82.8310       4.74707      0.105879E+25  0.369103E+25  0.165158E+25  0.484288E+25  0.145593E-12  0.166116E-12  0.139894E-16  0.156772E-37  0.159513E-21  0.178757E-42  0.726436E-14  0.294661E-16  0.716834E-14  0.664278E-16   41.9839       5.00000       1.00000       0.00000    
          10   93.1724       4.98667      0.104146E+25  0.380680E+25  0.161467E+25  0.498070E+25  0.147483E-12  0.168881E-12  0.244744E-16  0.146593E-37  0.252223E-21  0.151072E-42  0.904099E-14  0.314914E-16  0.888743E-14  0.122088E-15   52.2339       10.0000       2.00000       0.00000    
          11   103.514       5.21910      0.102506E+25  0.391551E+25  0.158084E+25  0.511122E+25  0.149333E-12  0.171582E-12  0.394217E-16  0.137821E-37  0.371524E-21  0.129887E-42  0.109836E-13  0.335243E-16  0.107442E-13  0.205818E-15   55.5123       10.0000       2.00000       0.00000    
          12   113.855       5.44940      0.101045E+25  0.402345E+25  0.155010E+25  0.523858E+25  0.151164E-12  0.174063E-12  0.595755E-16  0.129888E-37  0.517845E-21  0.112902E-42  0.130985E-13  0.355929E-16  0.127383E-13  0.324765E-15   58.7279       10.0000       2.00000       0.00000    
          13   124.197       5.67202      0.995569E+24  0.411989E+25  0.152103E+25  0.535693E+25  0.152952E-12  0.176665E-12  0.853820E-16  0.123056E-37  0.690534E-21  0.995224E-43  0.153564E-13  0.376544E-16  0.148348E-13  0.484465E-15   63.2906       10.0000       2.00000       0.00000    
          14   134.538       5.89146      0.981613E+24  0.421306E+25  0.149422E+25  0.547222E+25  0.154723E-12  0.179176E-12  0.117301E-15  0.116883E-37  0.888214E-21  0.885046E-43  0.177676E-13  0.397346E-16  0.170367E-13  0.691330E-15   65.8668       11.0000       2.00000       0.00000    
          15   144.879       6.10791      0.968327E+24  0.430078E+25  0.146924E+25  0.558340E+25  0.156448E-12  0.181635E-12  0.155608E-15  0.111364E-37  0.110919E-20  0.793812E-43  0.203252E-13  0.418266E-16  0.193321E-13  0.950791E-15   68.2329       12.0000       2.00000       0.00000    
          16   155.221       6.32270      0.955922E+24  0.438929E+25  0.144605E+25  0.569344E+25  0.158167E-12  0.183992E-12  0.200516E-15  0.106222E-37  0.135138E-20  0.715882E-43  0.230315E-13  0.439403E-16  0.217195E-13  0.126829E-14   72.6725       12.0000       2.00000       0.00000    
          17   165.562       6.53472      0.944121E+24  0.447387E+25  0.142459E+25  0.580136E+25  0.159856E-12  0.186292E-12  0.252106E-15  0.101549E-37  0.161286E-20  0.649665E-43  0.258791E-13  0.460615E-16  0.241854E-13  0.164806E-14   74.7606       12.0000       2.00000       0.00000    
          18   175.903       6.74507      0.932926E+24  0.455540E+25  0.140441E+25  0.590642E+25  0.161501E-12  0.188527E-12  0.310309E-15  0.972739E-38  0.189092E-20  0.592754E-43  0.288666E-13  0.481935E-16  0.267247E-13  0.209386E-14   79.2140       12.0000       2.00000       0.00000    
          19   186.245       6.95137      0.921864E+24  0.463295E+25  0.138534E+25  0.600827E+25  0.163126E-12  0.190790E-12  0.374962E-15  0.933464E-38  0.218392E-20  0.543684E-43  0.319768E-13  0.503179E-16  0.293190E-13  0.260753E-14   83.5672       12.0000       2.00000       0.00000    
          20   196.586       7.15727      0.911631E+24  0.471096E+25  0.136764E+25  0.610979E+25  0.164723E-12  0.192931E-12  0.446277E-15  0.896467E-38  0.249019E-20  0.500221E-43  0.352310E-13  0.524584E-16  0.319857E-13  0.319538E-14   84.9500       12.0000       2.00000       0.00000    
          21   206.928       7.36012      0.901678E+24  0.478525E+25  0.135091E+25  0.620901E+25  0.166277E-12  0.195061E-12  0.523732E-15  0.863047E-38  0.280698E-20  0.462556E-43  0.386090E-13  0.545931E-16  0.347008E-13  0.385627E-14   89.4036       12.0000       2.00000       0.00000    
          22   217.269       7.55975      0.891899E+24  0.485526E+25  0.133498E+25  0.630476E+25  0.167802E-12  0.197199E-12  0.607137E-15  0.831949E-38  0.313309E-20  0.429322E-43  0.421028E-13  0.567170E-16  0.374572E-13  0.459162E-14   90.9437       12.0000       2.00000       0.00000    
          23   227.610       7.76058      0.883074E+24  0.492979E+25  0.132020E+25  0.640164E+25  0.169314E-12  0.199170E-12  0.696831E-15  0.801344E-38  0.346688E-20  0.398685E-43  0.457489E-13  0.588653E-16  0.402830E-13  0.541002E-14   95.8605       13.0000       2.00000       0.00000    
          24   237.952       7.95839      0.874413E+24  0.500103E+25  0.130608E+25  0.649584E+25  0.170789E-12  0.201143E-12  0.792037E-15  0.773183E-38  0.380662E-20  0.371601E-43  0.495102E-13  0.610020E-16  0.431444E-13  0.630589E-14   97.5542       14.0000       2.00000       0.00000    
          25   248.293       8.15070      0.865548E+24  0.506411E+25  0.129252E+25  0.658628E+25  0.172215E-12  0.203203E-12  0.892374E-15  0.748519E-38  0.415232E-20  0.348295E-43  0.533606E-13  0.631079E-16  0.460230E-13  0.727651E-14   102.941       14.0000       2.00000       0.00000    
          26   258.634       8.34441      0.857514E+24  0.513133E+25  0.127984E+25  0.667766E+25  0.173630E-12  0.205107E-12  0.998518E-15  0.723950E-38  0.450224E-20  0.326423E-43  0.573606E-13  0.652356E-16  0.489646E-13  0.833550E-14   104.794       14.0000       2.00000       0.00000    
          27   268.976       8.53743      0.849906E+24  0.519872E+25  0.126775E+25  0.676743E+25  0.175022E-12  0.206943E-12  0.110980E-14  0.700014E-38  0.485467E-20  0.306212E-43  0.614890E-13  0.673684E-16  0.519478E-13  0.947888E-14   110.659       14.0000       2.00000       0.00000    
