"Ma","T","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","k","nut","p","rho","rhoMean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0055287,299.84,1.9241,0.011508,0,1.921,0.011605,0,0.004856,6.4806e-05,0,-7.5078e-05,0,0,0,6.181e-07,0,99770,1.1566,1.1556,1,0.00031,0.025,0.00031,0
0.005613,299.84,1.9534,0.011865,0,1.9503,0.011965,0,0.0049494,6.7909e-05,0,-7.6824e-05,0,0,0,6.1649e-07,0,99770,1.1566,1.1556,1,0.000315,0.025,0.000315,0
0.0056973,299.84,1.9828,0.012222,0,1.9796,0.012325,0,0.0050429,7.1011e-05,0,-7.857e-05,0,0,0,6.1488e-07,0,99770,1.1566,1.1556,1,0.00032,0.025,0.00032,0
0.0057817,299.84,2.0121,0.012578,0,2.0089,0.012684,0,0.0051364,7.4114e-05,0,-8.0317e-05,0,0,0,6.1326e-07,0,99770,1.1566,1.1556,1,0.000325,0.025,0.000325,0
0.005866,299.84,2.0415,0.012935,0,2.0382,0.013044,0,0.0052299,7.7216e-05,0,-8.2063e-05,0,0,0,6.1165e-07,0,99770,1.1566,1.1556,1,0.00033,0.025,0.00033,0
0.0059489,299.84,2.0703,0.013309,0,2.0671,0.013421,0,0.0053194,8.0676e-05,0,-8.3663e-05,0,0,0,6.0985e-07,0,99770,1.1566,1.1556,1,0.000335,0.025,0.000335,0
0.0060302,299.84,2.0986,0.013704,0,2.0953,0.01382,0,0.005404,8.4582e-05,0,-8.508e-05,0,0,0,6.0782e-07,0,99770,1.1566,1.1556,1,0.00034,0.025,0.00034,0
0.0061114,299.84,2.1269,0.014099,0,2.1235,0.014218,0,0.0054886,8.8487e-05,0,-8.6498e-05,0,0,0,6.0578e-07,0,99770,1.1566,1.1556,1,0.000345,0.025,0.000345,0
0.0061926,299.84,2.1551,0.014494,0,2.1518,0.014617,0,0.0055732,9.2392e-05,0,-8.7916e-05,0,0,0,6.0375e-07,0,99770,1.1566,1.1556,1,0.00035,0.025,0.00035,0
0.0062739,299.84,2.1834,0.014889,0,2.18,0.015015,0,0.0056578,9.6298e-05,0,-8.9333e-05,0,0,0,6.0172e-07,0,99770,1.1566,1.1556,1,0.000355,0.025,0.000355,0
0.0063551,299.84,2.2117,0.015284,0,2.2083,0.015414,0,0.0057424,0.0001002,0,-9.0751e-05,0,0,0,5.9969e-07,0,99770,1.1566,1.1556,1,0.00036,0.025,0.00036,0
0.0064363,299.84,2.2399,0.01568,0,2.2365,0.015812,0,0.005827,0.00010411,0,-9.2169e-05,0,0,0,5.9765e-07,0,99770,1.1566,1.1556,1,0.000365,0.025,0.000365,0
0.0065176,299.84,2.2682,0.016075,0,2.2647,0.016211,0,0.0059116,0.00010801,0,-9.3586e-05,0,0,0,5.9562e-07,0,99770,1.1566,1.1556,1,0.00037,0.025,0.00037,0
0.0065988,299.84,2.2965,0.01647,0,2.293,0.016609,0,0.0059962,0.00011192,0,-9.5004e-05,0,0,0,5.9359e-07,0,99770,1.1566,1.1556,1,0.000375,0.025,0.000375,0
0.0066774,299.84,2.3238,0.016887,0,2.3203,0.017031,0,0.0060727,0.00011637,0,-9.6104e-05,0,0,0,5.9126e-07,0,99770,1.1566,1.1556,1,0.00038,0.025,0.00038,0
0.0067547,299.84,2.3507,0.017315,0,2.3472,0.017462,0,0.0061455,0.00012107,0,-9.706e-05,0,0,0,5.888e-07,0,99770,1.1566,1.1556,1,0.000385,0.025,0.000385,0
0.0068321,299.84,2.3777,0.017743,0,2.3741,0.017893,0,0.0062184,0.00012577,0,-9.8015e-05,0,0,0,5.8634e-07,0,99770,1.1566,1.1556,1,0.00039,0.025,0.00039,0
0.0069095,299.84,2.4046,0.01817,0,2.401,0.018325,0,0.0062912,0.00013047,0,-9.897e-05,0,0,0,5.8387e-07,0,99770,1.1566,1.1556,1,0.000395,0.025,0.000395,0
0.0069869,299.84,2.4315,0.018598,0,2.4279,0.018756,0,0.0063641,0.00013516,0,-9.9926e-05,0,0,0,5.8141e-07,0,99770,1.1566,1.1556,1,0.0004,0.025,0.0004,0
0.0070642,299.84,2.4584,0.019026,0,2.4548,0.019188,0,0.0064369,0.00013986,0,-0.00010088,0,0,0,5.7895e-07,0,99770,1.1566,1.1556,1,0.000405,0.025,0.000405,0
0.0071416,299.83,2.4853,0.019453,0,2.4817,0.019619,0,0.0065097,0.00014456,0,-0.00010184,0,0,0,5.7648e-07,0,99770,1.1566,1.1556,1,0.00041,0.025,0.00041,0
0.007219,299.83,2.5123,0.019881,0,2.5085,0.020051,0,0.0065826,0.00014926,0,-0.00010279,0,0,0,5.7402e-07,0,99770,1.1566,1.1556,1,0.000415,0.025,0.000415,0
0.0072964,299.83,2.5392,0.020309,0,2.5354,0.020482,0,0.0066554,0.00015396,0,-0.00010375,0,0,0,5.7156e-07,0,99770,1.1566,1.1556,1,0.00042,0.025,0.00042,0
0.0073694,299.83,2.5646,0.02076,0,2.5608,0.020937,0,0.0067156,0.00015934,0,-0.00010416,0,0,0,5.687e-07,0,99770,1.1566,1.1556,1,0.000425,0.025,0.000425,0
0.0074421,299.83,2.5899,0.021213,0,2.5861,0.021395,0,0.0067747,0.00016479,0,-0.00010453,0,0,0,5.658e-07,0,99770,1.1566,1.1556,1,0.00043,0.025,0.00043,0
0.0075149,299.83,2.6152,0.021667,0,2.6114,0.021852,0,0.0068338,0.00017023,0,-0.0001049,0,0,0,5.6291e-07,0,99770,1.1566,1.1556,1,0.000435,0.025,0.000435,0
0.0075876,299.83,2.6405,0.02212,0,2.6367,0.022309,0,0.006893,0.00017567,0,-0.00010526,0,0,0,5.6002e-07,0,99770,1.1566,1.1556,1,0.00044,0.025,0.00044,0
0.0076603,299.83,2.6658,0.022573,0,2.662,0.022767,0,0.0069521,0.00018111,0,-0.00010563,0,0,0,5.5712e-07,0,99770,1.1566,1.1556,1,0.000445,0.025,0.000445,0
0.007733,299.83,2.6911,0.023026,0,2.6872,0.023224,0,0.0070112,0.00018655,0,-0.000106,0,0,0,5.5423e-07,0,99770,1.1566,1.1556,1,0.00045,0.025,0.00045,0
0.0078058,299.83,2.7164,0.02348,0,2.7125,0.023681,0,0.0070704,0.00019199,0,-0.00010637,0,0,0,5.5134e-07,0,99770,1.1566,1.1556,1,0.000455,0.025,0.000455,0
0.0078785,299.83,2.7417,0.023933,0,2.7378,0.024139,0,0.0071295,0.00019743,0,-0.00010674,0,0,0,5.4844e-07,0,99770,1.1566,1.1556,1,0.00046,0.025,0.00046,0
0.0079503,299.83,2.7667,0.024389,0,2.7628,0.024599,0,0.0071862,0.00020298,0,-0.00010699,0,0,5.6216e-17,5.4548e-07,4.8603e-17,99770,1.1566,1.1556,1,0.000465,0.025,0.000465,0
0.0080176,299.83,2.7901,0.02486,0,2.7861,0.025074,0,0.0072306,0.00020907,0,-0.00010665,0,0,3.9125e-16,5.4216e-07,3.3826e-16,99770,1.1566,1.1556,1,0.00047,0.025,0.00047,0
0.0080849,299.83,2.8135,0.025331,0,2.8095,0.02555,0,0.0072751,0.00021516,0,-0.00010631,0,0,7.2628e-16,5.3885e-07,6.2791e-16,99770,1.1566,1.1556,1,0.000475,0.025,0.000475,0
0.0081522,299.83,2.837,0.025802,0,2.8329,0.026025,0,0.0073195,0.00022125,0,-0.00010598,0,0,1.0613e-15,5.3553e-07,9.1756e-16,99770,1.1566,1.1556,1,0.00048,0.025,0.00048,0
0.0082195,299.83,2.8604,0.026273,0,2.8563,0.0265,0,0.007364,0.00022734,0,-0.00010564,0,0,1.3963e-15,5.3222e-07,1.2072e-15,99770,1.1566,1.1556,1,0.000485,0.025,0.000485,0
0.0082867,299.82,2.8838,0.026744,0,2.8797,0.026975,0,0.0074084,0.00023344,0,-0.0001053,0,0,1.7314e-15,5.289e-07,1.4969e-15,99770,1.1566,1.1557,1,0.00049,0.025,0.00049,0
0.008354,299.82,2.9072,0.027215,0,2.9031,0.027451,0,0.0074529,0.00023953,0,-0.00010497,0,0,2.0664e-15,5.2559e-07,1.7865e-15,99770,1.1566,1.1557,1,0.000495,0.025,0.000495,0
0.0084213,299.82,2.9306,0.027686,0,2.9265,0.027926,0,0.0074973,0.00024562,0,-0.00010463,0,0,2.4014e-15,5.2227e-07,2.0762e-15,99770,1.1566,1.1557,1,0.0005,0.025,0.0005,0
0.0084886,299.82,2.954,0.028156,0,2.9499,0.028401,0,0.0075418,0.00025171,0,-0.00010429,0,0,2.7364e-15,5.1896e-07,2.3658e-15,99770,1.1566,1.1557,1,0.000505,0.025,0.000505,0
0.0085534,299.82,2.9765,0.028631,0,2.9724,0.02888,0,0.0075802,0.00025802,0,-0.00010362,0,0,6.766e-15,5.1548e-07,5.8496e-15,99770,1.1566,1.1557,1,0.00051,0.025,0.00051,0
0.0086145,299.82,2.9978,0.029111,0,2.9937,0.029365,0,0.0076099,0.00026464,0,-0.00010247,0,0,1.6143e-14,5.1176e-07,1.3956e-14,99770,1.1566,1.1557,1,0.000515,0.025,0.000515,0
0.0086756,299.82,3.0191,0.029591,0,3.0149,0.029849,0,0.0076395,0.00027126,0,-0.00010131,0,0,2.552e-14,5.0804e-07,2.2063e-14,99770,1.1566,1.1557,1,0.00052,0.025,0.00052,0
0.0087367,299.82,3.0403,0.030071,0,3.0362,0.030334,0,0.0076692,0.00027788,0,-0.00010016,0,0,3.4897e-14,5.0432e-07,3.017e-14,99770,1.1566,1.1557,1,0.000525,0.025,0.000525,0
0.0087979,299.82,3.0616,0.030551,0,3.0574,0.030819,0,0.0076989,0.0002845,0,-9.9005e-05,0,0,4.4274e-14,5.006e-07,3.8277e-14,99770,1.1567,1.1557,1,0.00053,0.025,0.00053,0
0.008859,299.82,3.0829,0.031031,0,3.0787,0.031303,0,0.0077286,0.00029112,0,-9.7852e-05,0,0,5.3651e-14,4.9688e-07,4.6384e-14,99770,1.1567,1.1557,1,0.000535,0.025,0.000535,0
0.0089201,299.82,3.1041,0.03151,0,3.0999,0.031788,0,0.0077582,0.00029774,0,-9.6698e-05,0,0,6.3028e-14,4.9316e-07,5.4491e-14,99770,1.1567,1.1557,1,0.00054,0.025,0.00054,0
0.0089812,299.82,3.1254,0.03199,0,3.1212,0.032272,0,0.0077879,0.00030437,0,-9.5544e-05,0,0,7.2405e-14,4.8944e-07,6.2598e-14,99770,1.1567,1.1557,1,0.000545,0.025,0.000545,0
0.0090423,299.82,3.1466,0.03247,0,3.1424,0.032757,0,0.0078176,0.00031099,0,-9.4391e-05,0,0,8.1782e-14,4.8572e-07,7.0704e-14,99770,1.1567,1.1557,1,0.00055,0.025,0.00055,0
0.009099,299.81,3.1663,0.03295,0,3.1621,0.033241,0,0.0078381,0.00031785,0,-9.2647e-05,0,0,1.0164e-13,4.8175e-07,8.7874e-14,99770,1.1567,1.1557,1,0.000555,0.025,0.000555,0
0.0091533,299.81,3.1852,0.03343,0,3.181,0.033726,0,0.0078536,0.00032486,0,-9.0584e-05,0,0,1.2716e-13,4.7765e-07,1.0993e-13,99770,1.1567,1.1557,1,0.00056,0.025,0.00056,0
0.0092075,299.81,3.2041,0.033909,0,3.1999,0.03421,0,0.0078691,0.00033186,0,-8.8522e-05,0,0,1.5267e-13,4.7354e-07,1.3199e-13,99770,1.1567,1.1557,1,0.000565,0.025,0.000565,0
0.0092618,299.81,3.223,0.034389,0,3.2187,0.034695,0,0.0078846,0.00033886,0,-8.646e-05,0,0,1.7819e-13,4.6944e-07,1.5405e-13,99770,1.1567,1.1557,1,0.00057,0.025,0.00057,0
0.0093161,299.81,3.2419,0.034869,0,3.2376,0.03518,0,0.0079001,0.00034586,0,-8.4397e-05,0,0,2.037e-13,4.6534e-07,1.7611e-13,99770,1.1567,1.1557,1,0.000575,0.025,0.000575,0
0.0093703,299.81,3.2607,0.035349,0,3.2565,0.035664,0,0.0079156,0.00035286,0,-8.2335e-05,0,0,2.2922e-13,4.6124e-07,1.9816e-13,99770,1.1567,1.1557,1,0.00058,0.025,0.00058,0
0.0094246,299.81,3.2796,0.035828,0,3.2754,0.036149,0,0.0079312,0.00035986,0,-8.0273e-05,0,0,2.5473e-13,4.5713e-07,2.2022e-13,99770,1.1567,1.1557,1,0.000585,0.025,0.000585,0
0.0094789,299.81,3.2985,0.036308,0,3.2942,0.036633,0,0.0079467,0.00036686,0,-7.821e-05,0,0,2.8024e-13,4.5303e-07,2.4228e-13,99770,1.1567,1.1557,1,0.00059,0.025,0.00059,0
0.0095331,299.81,3.3174,0.036788,0,3.3131,0.037118,0,0.0079622,0.00037386,0,-7.6148e-05,0,0,3.0576e-13,4.4893e-07,2.6434e-13,99770,1.1567,1.1557,1,0.000595,0.025,0.000595,0
0.0095808,299.81,3.3339,0.037259,0,3.3297,0.037594,0,0.0079661,0.00038105,0,-7.3218e-05,0,0,3.5201e-13,4.4451e-07,3.0432e-13,99770,1.1567,1.1557,1,0.0006,0.025,0.0006,0
0.0096277,299.81,3.3502,0.037729,0,3.346,0.038069,0,0.0079687,0.00038827,0,-7.0182e-05,0,0,4.008e-13,4.4005e-07,3.465e-13,99770,1.1567,1.1557,1,0.000605,0.025,0.000605,0
0.0096745,299.8,3.3665,0.038199,0,3.3623,0.038544,0,0.0079712,0.00039548,0,-6.7146e-05,0,0,4.496e-13,4.356e-07,3.8869e-13,99770,1.1567,1.1557,1,0.00061,0.025,0.00061,0
