"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.5731e-10,2.9539e+06,0.0049263,1,nan,nan,8542.1,1,0.0009966,0,0.0043966,0
-2.5679e-10,2.948e+06,0.0049302,1,nan,nan,8522.7,1,0.0010032,0,0.0044032,0
-2.5627e-10,2.9421e+06,0.0049341,1,nan,nan,8503.2,1,0.0010098,0,0.0044098,0
-2.5576e-10,2.9361e+06,0.004938,1,nan,nan,8483.8,1,0.0010164,0,0.0044164,0
-2.5524e-10,2.9302e+06,0.0049418,1,nan,nan,8464.4,1,0.001023,0,0.004423,0
-2.2925e-10,2.9243e+06,0.0049457,1,nan,nan,8445,1,0.0010296,0,0.0044296,0
-2.2879e-10,2.9183e+06,0.0049496,1,nan,nan,8425.6,1,0.0010362,0,0.0044362,0
-2.2832e-10,2.9124e+06,0.0049535,1,nan,nan,8406.1,1,0.0010428,0,0.0044428,0
-2.2786e-10,2.9065e+06,0.0049573,1,nan,nan,8386.7,1,0.0010494,0,0.0044494,0
-2.2739e-10,2.9006e+06,0.0049612,1,nan,nan,8367.3,1,0.001056,0,0.004456,0
-2.2693e-10,2.8946e+06,0.0049651,1,nan,nan,8347.9,1,0.0010626,0,0.0044626,0
-2.2646e-10,2.8887e+06,0.004969,1,nan,nan,8328.5,1,0.0010692,0,0.0044692,0
-2.26e-10,2.8828e+06,0.0049728,1,nan,nan,8309,1,0.0010758,0,0.0044758,0
-2.2553e-10,2.8768e+06,0.0049767,1,nan,nan,8289.6,1,0.0010824,0,0.0044824,0
-2.2507e-10,2.8709e+06,0.0049806,1,nan,nan,8270.2,1,0.001089,0,0.004489,0
-2.2461e-10,2.865e+06,0.0049845,1,nan,nan,8250.8,1,0.0010956,0,0.0044956,0
-2.2414e-10,2.8591e+06,0.0049884,1,nan,nan,8231.4,1,0.0011022,0,0.0045022,0
-2.2368e-10,2.8531e+06,0.0049922,1,nan,nan,8211.9,1,0.0011088,0,0.0045088,0
-2.2321e-10,2.8472e+06,0.0049961,1,nan,nan,8192.5,1,0.0011154,0,0.0045154,0
-2.2275e-10,2.8413e+06,0.005,1,nan,nan,8173.1,1,0.001122,0,0.004522,0
-2.2228e-10,2.8353e+06,0.0050039,1,nan,nan,8153.7,1,0.0011286,0,0.0045286,0
-2.2184e-10,2.8297e+06,0.0050049,1,nan,nan,8135.2,1,0.0011352,0,0.0045352,0
-2.214e-10,2.8242e+06,0.0050049,1,nan,nan,8117.1,1,0.0011418,0,0.0045418,0
-2.2097e-10,2.8186e+06,0.0050049,1,nan,nan,8099,1,0.0011484,0,0.0045484,0
-2.2054e-10,2.8131e+06,0.0050049,1,nan,nan,8080.9,1,0.001155,0,0.004555,0
-2.201e-10,2.8075e+06,0.0050049,1,nan,nan,8062.8,1,0.0011616,0,0.0045616,0
-2.1967e-10,2.802e+06,0.0050049,1,nan,nan,8044.6,1,0.0011682,0,0.0045682,0
-2.1923e-10,2.7964e+06,0.0050049,1,nan,nan,8026.5,1,0.0011748,0,0.0045748,0
-2.188e-10,2.7909e+06,0.0050049,1,nan,nan,8008.4,1,0.0011814,0,0.0045814,0
-2.1836e-10,2.7853e+06,0.0050049,1,nan,nan,7990.3,1,0.001188,0,0.004588,0
-2.1793e-10,2.7798e+06,0.0050049,1,nan,nan,7972.2,1,0.0011946,0,0.0045946,0
-2.1749e-10,2.7743e+06,0.0050049,1,nan,nan,7954.1,1,0.0012012,0,0.0046012,0
-2.1706e-10,2.7687e+06,0.0050049,1,nan,nan,7936,1,0.0012078,0,0.0046078,0
-2.1662e-10,2.7632e+06,0.0050049,1,nan,nan,7917.9,1,0.0012144,0,0.0046144,0
-2.1619e-10,2.7576e+06,0.0050049,1,nan,nan,7899.7,1,0.001221,0,0.004621,0
-2.1575e-10,2.7521e+06,0.0050049,1,nan,nan,7881.6,1,0.0012276,0,0.0046276,0
-2.1532e-10,2.7465e+06,0.0050049,1,nan,nan,7863.5,1,0.0012342,0,0.0046342,0
-2.1488e-10,2.741e+06,0.0050049,1,nan,nan,7845.4,1,0.0012408,0,0.0046408,0
-2.1445e-10,2.7354e+06,0.0050049,1,nan,nan,7827.3,1,0.0012474,0,0.0046474,0
-2.1402e-10,2.7299e+06,0.0050049,1,nan,nan,7809.2,1,0.001254,0,0.004654,0
-2.1358e-10,2.7244e+06,0.0050049,1,nan,nan,7791.1,1,0.0012606,0,0.0046606,0
-2.1315e-10,2.7188e+06,0.0050049,1,nan,nan,7773,1,0.0012672,0,0.0046672,0
